DateTime,Origin
1/1/2016 0:00,821
1/1/2016 1:00,4590
1/1/2016 2:00,1958
1/1/2016 3:00,874
1/1/2016 4:00,28
1/1/2016 8:00,97
1/1/2016 9:00,158
1/1/2016 10:00,134
1/1/2016 11:00,213
1/1/2016 12:00,328
1/1/2016 13:00,334
1/1/2016 14:00,427
1/1/2016 15:00,544
1/1/2016 16:00,667
1/1/2016 17:00,816
1/1/2016 18:00,871
1/1/2016 19:00,625
1/1/2016 20:00,457
1/1/2016 21:00,407
1/1/2016 22:00,338
1/1/2016 23:00,359
1/2/2016 0:00,209
1/2/2016 1:00,21
1/2/2016 5:00,0
1/2/2016 6:00,18
1/2/2016 7:00,58
1/2/2016 8:00,79
1/2/2016 9:00,127
1/2/2016 10:00,186
1/2/2016 11:00,270
1/2/2016 12:00,361
1/2/2016 13:00,455
1/2/2016 14:00,534
1/2/2016 15:00,748
1/2/2016 16:00,984
1/2/2016 17:00,1119
1/2/2016 18:00,1088
1/2/2016 19:00,935
1/2/2016 20:00,541
1/2/2016 21:00,572
1/2/2016 22:00,474
1/2/2016 23:00,425
1/3/2016 0:00,287
1/3/2016 1:00,44
1/3/2016 8:00,104
1/3/2016 9:00,123
1/3/2016 10:00,134
1/3/2016 11:00,238
1/3/2016 12:00,290
1/3/2016 13:00,295
1/3/2016 14:00,312
1/3/2016 15:00,411
1/3/2016 16:00,640
1/3/2016 17:00,710
1/3/2016 18:00,636
1/3/2016 19:00,436
1/3/2016 20:00,386
1/3/2016 21:00,287
1/3/2016 22:00,233
1/3/2016 23:00,244
1/4/2016 0:00,118
1/4/2016 1:00,12
1/4/2016 4:00,3
1/4/2016 5:00,44
1/4/2016 6:00,171
1/4/2016 7:00,490
1/4/2016 8:00,730
1/4/2016 9:00,542
1/4/2016 10:00,301
1/4/2016 11:00,387
1/4/2016 12:00,553
1/4/2016 13:00,665
1/4/2016 14:00,1193
1/4/2016 15:00,2074
1/4/2016 16:00,4716
1/4/2016 17:00,9622
1/4/2016 18:00,9891
1/4/2016 19:00,3939
1/4/2016 20:00,1368
1/4/2016 21:00,715
1/4/2016 22:00,490
1/4/2016 23:00,359
1/5/2016 0:00,205
1/5/2016 1:00,32
1/5/2016 4:00,6
1/5/2016 5:00,56
1/5/2016 6:00,178
1/5/2016 7:00,503
1/5/2016 8:00,735
1/5/2016 9:00,614
1/5/2016 10:00,374
1/5/2016 11:00,444
1/5/2016 12:00,627
1/5/2016 13:00,676
1/5/2016 14:00,1045
1/5/2016 15:00,2277
1/5/2016 16:00,4810
1/5/2016 17:00,9058
1/5/2016 18:00,9923
1/5/2016 19:00,4293
1/5/2016 20:00,1675
1/5/2016 21:00,921
1/5/2016 22:00,586
1/5/2016 23:00,436
1/6/2016 0:00,193
1/6/2016 1:00,37
1/6/2016 4:00,7
1/6/2016 5:00,66
1/6/2016 6:00,182
1/6/2016 7:00,463
1/6/2016 8:00,881
1/6/2016 9:00,519
1/6/2016 10:00,384
1/6/2016 11:00,420
1/6/2016 12:00,632
1/6/2016 13:00,783
1/6/2016 14:00,1254
1/6/2016 15:00,2217
1/6/2016 16:00,4578
1/6/2016 17:00,8992
1/6/2016 18:00,9384
1/6/2016 19:00,4489
1/6/2016 20:00,1676
1/6/2016 21:00,895
1/6/2016 22:00,681
1/6/2016 23:00,486
1/7/2016 0:00,260
1/7/2016 1:00,34
1/7/2016 4:00,5
1/7/2016 5:00,59
1/7/2016 6:00,174
1/7/2016 7:00,466
1/7/2016 8:00,780
1/7/2016 9:00,579
1/7/2016 10:00,390
1/7/2016 11:00,491
1/7/2016 12:00,637
1/7/2016 13:00,837
1/7/2016 14:00,1297
1/7/2016 15:00,2253
1/7/2016 16:00,4827
1/7/2016 17:00,9063
1/7/2016 18:00,9093
1/7/2016 19:00,4258
1/7/2016 20:00,1939
1/7/2016 21:00,1254
1/7/2016 22:00,1052
1/7/2016 23:00,693
1/8/2016 0:00,380
1/8/2016 1:00,52
1/8/2016 4:00,4
1/8/2016 5:00,63
1/8/2016 6:00,177
1/8/2016 7:00,442
1/8/2016 8:00,634
1/8/2016 9:00,531
1/8/2016 10:00,354
1/8/2016 11:00,552
1/8/2016 12:00,816
1/8/2016 13:00,956
1/8/2016 14:00,1581
1/8/2016 15:00,2527
1/8/2016 16:00,4443
1/8/2016 17:00,8901
1/8/2016 18:00,7624
1/8/2016 19:00,3315
1/8/2016 20:00,1423
1/8/2016 21:00,950
1/8/2016 22:00,812
1/8/2016 23:00,623
1/9/2016 0:00,439
1/9/2016 1:00,69
1/9/2016 6:00,33
1/9/2016 7:00,74
1/9/2016 8:00,156
1/9/2016 9:00,201
1/9/2016 10:00,222
1/9/2016 11:00,276
1/9/2016 12:00,428
1/9/2016 13:00,498
1/9/2016 14:00,529
1/9/2016 15:00,677
1/9/2016 16:00,951
1/9/2016 17:00,1004
1/9/2016 18:00,847
1/9/2016 19:00,606
1/9/2016 20:00,462
1/9/2016 21:00,465
1/9/2016 22:00,444
1/9/2016 23:00,440
1/10/2016 0:00,396
1/10/2016 1:00,60
1/10/2016 7:00,1
1/10/2016 8:00,114
1/10/2016 9:00,153
1/10/2016 10:00,170
1/10/2016 11:00,259
1/10/2016 12:00,296
1/10/2016 13:00,353
1/10/2016 14:00,432
1/10/2016 15:00,519
1/10/2016 16:00,644
1/10/2016 17:00,859
1/10/2016 18:00,722
1/10/2016 19:00,469
1/10/2016 20:00,387
1/10/2016 21:00,361
1/10/2016 22:00,269
1/10/2016 23:00,221
1/11/2016 0:00,153
1/11/2016 1:00,11
1/11/2016 4:00,2
1/11/2016 5:00,53
1/11/2016 6:00,192
1/11/2016 7:00,525
1/11/2016 8:00,767
1/11/2016 9:00,593
1/11/2016 10:00,348
1/11/2016 11:00,447
1/11/2016 12:00,570
1/11/2016 13:00,785
1/11/2016 14:00,1301
1/11/2016 15:00,2133
1/11/2016 16:00,4903
1/11/2016 17:00,9736
1/11/2016 18:00,9570
1/11/2016 19:00,4687
1/11/2016 20:00,1709
1/11/2016 21:00,974
1/11/2016 22:00,624
1/11/2016 23:00,467
1/12/2016 0:00,273
1/12/2016 1:00,48
1/12/2016 3:00,0
1/12/2016 4:00,6
1/12/2016 5:00,71
1/12/2016 6:00,189
1/12/2016 7:00,495
1/12/2016 8:00,813
1/12/2016 9:00,601
1/12/2016 10:00,362
1/12/2016 11:00,453
1/12/2016 12:00,692
1/12/2016 13:00,804
1/12/2016 14:00,1501
1/12/2016 15:00,2309
1/12/2016 16:00,5211
1/12/2016 17:00,9743
1/12/2016 18:00,9513
1/12/2016 19:00,4078
1/12/2016 20:00,1961
1/12/2016 21:00,1155
1/12/2016 22:00,766
1/12/2016 23:00,454
1/13/2016 0:00,275
1/13/2016 1:00,55
1/13/2016 4:00,6
1/13/2016 5:00,55
1/13/2016 6:00,178
1/13/2016 7:00,494
1/13/2016 8:00,796
1/13/2016 9:00,591
1/13/2016 10:00,392
1/13/2016 11:00,476
1/13/2016 12:00,726
1/13/2016 13:00,797
1/13/2016 14:00,1354
1/13/2016 15:00,2248
1/13/2016 16:00,4963
1/13/2016 17:00,9094
1/13/2016 18:00,9590
1/13/2016 19:00,4193
1/13/2016 20:00,1938
1/13/2016 21:00,1397
1/13/2016 22:00,802
1/13/2016 23:00,536
1/14/2016 0:00,361
1/14/2016 1:00,48
1/14/2016 4:00,7
1/14/2016 5:00,74
1/14/2016 6:00,195
1/14/2016 7:00,483
1/14/2016 8:00,788
1/14/2016 9:00,547
1/14/2016 10:00,351
1/14/2016 11:00,494
1/14/2016 12:00,733
1/14/2016 13:00,904
1/14/2016 14:00,1736
1/14/2016 15:00,2450
1/14/2016 16:00,5160
1/14/2016 17:00,8945
1/14/2016 18:00,7199
1/14/2016 19:00,6447
1/14/2016 20:00,2088
1/14/2016 21:00,1360
1/14/2016 22:00,970
1/14/2016 23:00,677
1/15/2016 0:00,355
1/15/2016 1:00,39
1/15/2016 4:00,5
1/15/2016 5:00,76
1/15/2016 6:00,177
1/15/2016 7:00,462
1/15/2016 8:00,705
1/15/2016 9:00,542
1/15/2016 10:00,395
1/15/2016 11:00,584
1/15/2016 12:00,881
1/15/2016 13:00,1284
1/15/2016 14:00,1834
1/15/2016 15:00,2836
1/15/2016 16:00,5064
1/15/2016 17:00,8262
