DateTime,Origin
1/1/2016 0:00,139
1/1/2016 1:00,64
1/1/2016 2:00,19
1/1/2016 3:00,5
1/1/2016 4:00,1
1/1/2016 8:00,55
1/1/2016 9:00,174
1/1/2016 10:00,265
1/1/2016 11:00,378
1/1/2016 12:00,508
1/1/2016 13:00,471
1/1/2016 14:00,485
1/1/2016 15:00,551
1/1/2016 16:00,396
1/1/2016 17:00,476
1/1/2016 18:00,417
1/1/2016 19:00,413
1/1/2016 20:00,436
1/1/2016 21:00,429
1/1/2016 22:00,318
1/1/2016 23:00,277
1/2/2016 0:00,164
1/2/2016 1:00,17
1/2/2016 5:00,1
1/2/2016 6:00,25
1/2/2016 7:00,66
1/2/2016 8:00,174
1/2/2016 9:00,289
1/2/2016 10:00,528
1/2/2016 11:00,621
1/2/2016 12:00,641
1/2/2016 13:00,719
1/2/2016 14:00,543
1/2/2016 15:00,537
1/2/2016 16:00,433
1/2/2016 17:00,338
1/2/2016 18:00,398
1/2/2016 19:00,390
1/2/2016 20:00,437
1/2/2016 21:00,379
1/2/2016 22:00,325
1/2/2016 23:00,296
1/3/2016 0:00,165
1/3/2016 1:00,24
1/3/2016 8:00,91
1/3/2016 9:00,303
1/3/2016 10:00,411
1/3/2016 11:00,503
1/3/2016 12:00,513
1/3/2016 13:00,481
1/3/2016 14:00,514
1/3/2016 15:00,517
1/3/2016 16:00,480
1/3/2016 17:00,419
1/3/2016 18:00,398
1/3/2016 19:00,387
1/3/2016 20:00,386
1/3/2016 21:00,479
1/3/2016 22:00,386
1/3/2016 23:00,324
1/4/2016 0:00,166
1/4/2016 1:00,22
1/4/2016 4:00,4
1/4/2016 5:00,28
1/4/2016 6:00,39
1/4/2016 7:00,85
1/4/2016 8:00,221
1/4/2016 9:00,482
1/4/2016 10:00,486
1/4/2016 11:00,579
1/4/2016 12:00,514
1/4/2016 13:00,472
1/4/2016 14:00,548
1/4/2016 15:00,540
1/4/2016 16:00,631
1/4/2016 17:00,552
1/4/2016 18:00,535
1/4/2016 19:00,463
1/4/2016 20:00,358
1/4/2016 21:00,311
1/4/2016 22:00,389
1/4/2016 23:00,308
1/5/2016 0:00,217
1/5/2016 1:00,33
1/5/2016 4:00,12
1/5/2016 5:00,54
1/5/2016 6:00,48
1/5/2016 7:00,90
1/5/2016 8:00,147
1/5/2016 9:00,320
1/5/2016 10:00,333
1/5/2016 11:00,444
1/5/2016 12:00,442
1/5/2016 13:00,532
1/5/2016 14:00,486
1/5/2016 15:00,582
1/5/2016 16:00,628
1/5/2016 17:00,648
1/5/2016 18:00,649
1/5/2016 19:00,450
1/5/2016 20:00,459
1/5/2016 21:00,397
1/5/2016 22:00,350
1/5/2016 23:00,255
1/6/2016 0:00,180
1/6/2016 1:00,21
1/6/2016 4:00,7
1/6/2016 5:00,29
1/6/2016 6:00,26
1/6/2016 7:00,52
1/6/2016 8:00,108
1/6/2016 9:00,189
1/6/2016 10:00,263
1/6/2016 11:00,408
1/6/2016 12:00,406
1/6/2016 13:00,365
1/6/2016 14:00,485
1/6/2016 15:00,421
1/6/2016 16:00,610
1/6/2016 17:00,577
1/6/2016 18:00,522
1/6/2016 19:00,442
1/6/2016 20:00,369
1/6/2016 21:00,330
1/6/2016 22:00,398
1/6/2016 23:00,295
1/7/2016 0:00,210
1/7/2016 1:00,31
1/7/2016 3:00,1
1/7/2016 4:00,3
1/7/2016 5:00,23
1/7/2016 6:00,14
1/7/2016 7:00,53
1/7/2016 8:00,153
1/7/2016 9:00,180
1/7/2016 10:00,255
1/7/2016 11:00,485
1/7/2016 12:00,510
1/7/2016 13:00,421
1/7/2016 14:00,495
1/7/2016 15:00,552
1/7/2016 16:00,598
1/7/2016 17:00,560
1/7/2016 18:00,482
1/7/2016 19:00,359
1/7/2016 20:00,386
1/7/2016 21:00,323
1/7/2016 22:00,350
1/7/2016 23:00,252
1/8/2016 0:00,156
1/8/2016 1:00,11
1/8/2016 4:00,6
1/8/2016 5:00,21
1/8/2016 6:00,21
1/8/2016 7:00,60
1/8/2016 8:00,119
1/8/2016 9:00,174
1/8/2016 10:00,252
1/8/2016 11:00,346
1/8/2016 12:00,413
1/8/2016 13:00,418
1/8/2016 14:00,411
1/8/2016 15:00,500
1/8/2016 16:00,508
1/8/2016 17:00,563
1/8/2016 18:00,513
1/8/2016 19:00,421
1/8/2016 20:00,382
1/8/2016 21:00,337
1/8/2016 22:00,296
1/8/2016 23:00,237
1/9/2016 0:00,151
1/9/2016 1:00,14
1/9/2016 5:00,1
1/9/2016 6:00,16
1/9/2016 7:00,60
1/9/2016 8:00,80
1/9/2016 9:00,159
1/9/2016 10:00,204
1/9/2016 11:00,304
1/9/2016 12:00,303
1/9/2016 13:00,395
1/9/2016 14:00,370
1/9/2016 15:00,318
1/9/2016 16:00,391
1/9/2016 17:00,376
1/9/2016 18:00,301
1/9/2016 19:00,244
1/9/2016 20:00,282
1/9/2016 21:00,279
1/9/2016 22:00,228
1/9/2016 23:00,195
1/10/2016 0:00,104
1/10/2016 1:00,39
1/10/2016 7:00,1
1/10/2016 8:00,47
1/10/2016 9:00,120
1/10/2016 10:00,221
1/10/2016 11:00,321
1/10/2016 12:00,394
1/10/2016 13:00,347
1/10/2016 14:00,428
1/10/2016 15:00,364
1/10/2016 16:00,365
1/10/2016 17:00,377
1/10/2016 18:00,314
1/10/2016 19:00,342
1/10/2016 20:00,357
1/10/2016 21:00,249
1/10/2016 22:00,266
1/10/2016 23:00,234
1/11/2016 0:00,141
1/11/2016 1:00,17
1/11/2016 4:00,1
1/11/2016 5:00,28
1/11/2016 6:00,23
1/11/2016 7:00,80
1/11/2016 8:00,295
1/11/2016 9:00,334
1/11/2016 10:00,321
1/11/2016 11:00,377
1/11/2016 12:00,413
1/11/2016 13:00,431
1/11/2016 14:00,435
1/11/2016 15:00,518
1/11/2016 16:00,580
1/11/2016 17:00,541
